shipment_id,order_id,carrier,ship_date,delivery_date,status,tracking_number
SHP-1001,ORD-2001,JNE,2026-05-02,2026-05-04,delivered,JNE0010023401
SHP-1002,ORD-2002,SiCepat,2026-05-03,2026-05-05,delivered,SCP9981172234
SHP-1003,ORD-2003,JNE,2026-05-04,2026-05-07,delivered,JNE0010024112
SHP-1004,ORD-2004,Anteraja,2026-05-05,2026-05-08,delivered,ANT4451029911
SHP-1005,ORD-2005,JNE,2026-05-06,,in_transit,JNE0010025009
SHP-1006,ORD-2006,SiCepat,2026-05-07,2026-05-10,delivered,SCP9981173388
SHP-1007,ORD-2007,Pos Indonesia,2026-05-08,,in_transit,POS7710023812
SHP-1008,ORD-2008,JNE,2026-05-09,2026-05-12,delivered,JNE0010025770
SHP-1009,ORD-2009,Anteraja,2026-05-10,,delayed,ANT4451030504
SHP-1010,ORD-2010,SiCepat,2026-05-11,2026-05-13,delivered,SCP9981174001
SHP-1011,ORD-2011,JNE,2026-05-12,2026-05-15,delivered,JNE0010026233
SHP-1012,ORD-2012,Pos Indonesia,2026-05-13,,cancelled,POS7710024099
SHP-1013,ORD-2013,JNE,2026-05-14,,in_transit,JNE0010026901
SHP-1014,ORD-2014,Anteraja,2026-05-15,2026-05-18,delivered,ANT4451031126
SHP-1015,ORD-2015,SiCepat,2026-05-16,,in_transit,SCP9981174750
