order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,status
5001,1001,2025-01-10,P-100,2,150000,300000,completed
5002,1002,2025-01-12,P-101,1,275000,275000,completed
5003,1003,2025-01-15,P-102,3,99000,297000,completed
5004,1001,2025-02-02,P-103,1,540000,540000,completed
5005,1004,2025-02-18,P-100,5,150000,750000,completed
5006,1005,2025-03-01,P-104,2,210000,420000,pending
5007,1006,2025-03-09,P-101,4,275000,1100000,completed
5008,1007,2025-03-22,P-105,1,1250000,1250000,completed
5009,1008,2025-04-05,P-102,2,99000,198000,cancelled
5010,1002,2025-04-14,P-100,3,150000,450000,completed
5011,1009,2025-04-28,P-103,1,540000,540000,completed
5012,1010,2025-05-03,P-104,2,210000,420000,pending
5013,1003,2025-05-11,P-105,1,1250000,1250000,completed
5014,1005,2025-05-18,P-101,2,275000,550000,completed
5015,1006,2025-05-25,P-100,4,150000,600000,completed
