inventory_id,product_id,warehouse_code,location,quantity_on_hand,reorder_level,last_restock_date
INV-001,P-100,WH-JKT,Jakarta,180,50,2026-05-10
INV-002,P-101,WH-JKT,Jakarta,75,40,2026-05-12
INV-003,P-102,WH-JKT,Jakarta,210,80,2026-05-08
INV-004,P-103,WH-BDG,Bandung,42,30,2026-05-14
INV-005,P-104,WH-BDG,Bandung,118,50,2026-05-09
INV-006,P-105,WH-SBY,Surabaya,21,15,2026-05-15
INV-007,P-106,WH-SBY,Surabaya,160,60,2026-05-11
INV-008,P-107,WH-SBY,Surabaya,38,25,2026-05-13
INV-009,P-100,WH-MDN,Medan,95,40,2026-05-07
INV-010,P-102,WH-MDN,Medan,140,60,2026-05-06
INV-011,P-103,WH-DPS,Denpasar,28,20,2026-05-16
INV-012,P-106,WH-DPS,Denpasar,72,30,2026-05-17
